FII_TICKER,FII_NAME,FII_CNPJ
EXES11,EXES FII-UNICA,41076851000103
FAED11,ANHANGUERA EDUCACIONAL FII,11179118000145
FAMB11B,EDIFICIO ALMIRANTE BARROSO FII-UNICA,05562312000102
FATN11,FI IMOBILIARIO ATHENA,30567216000102
FCFL11,FI IMOBILIARIO - FII,11602654000101
FIGS11,GENERAL SHOPPING ATIVO E RENDA-UNICA,17590518000125
FIIB11,FII INDUSTRIAL DO BRASIL-UNICA,14217108000145
FIIP11B,RB CAPITAL RENDA I FII,08696175000197
FINF11,INFRA REAL ESTATE FII,18369510000104
FISC11,FI IMOBILIÁRIO SC 401,12804013000100
FISD11,FII SAO DOMINGOS,16543270000189
FIVN11,VIDA NOVA FII,17854016000164
FLCR11,FARIA LIMA CAPITAL RECEBIVEIS -UNICA,33884145000151
FLMA11,CONTINENTAL SQUARE FAERIA LIMA,04141645000103
FLRP11,HEDGE FLORIPA SHOPPING FII-UNICA,10375382000191
FMOF11,FII MEMORIAL OFFICE-UNICA,01633741000172
FPAB11,FII PROJETO AGUA BRANCA-UNICA,03251720000118
FPNG11,FII PEDRA NEGRA RENDA IMOBILIARIA,17161979000182
FTCE11B,OPPORTUNITY FII-CLASSE UN,01235622000161
FVPQ11,FII VIA PARQUE SHOPPING FII,00332266000131
GALG11,FII GUARDIAN LOGISTICA-UNICA,37295919000160
GAME11,FII GUARDIAN MULT IMOB I-UNICA,41269052000145
GCFF11,GALAPAGOS FUNDO DE FUNDOS - FI-UNICA,35652154000142
GCRI11,GALAPAGOS RECEBIVEIS IMOBILIAR-UNICA,38293897000161
GESE11B,FII GENERAL SEVERIANO-CLASSE UN,17007528000195
GGRC11,GGR COVEPI RENDA FII,26614291000100
GGRC12,GGR COVEPI RENDA FII,26614291000100
GSFI11,GENERAL SHOPPING E OUTLETS DO -UNICA,11769604000113
GTLG11,GTIS BRAZIL LOGISTICS FUNDO DE-UNICA,36200677000110
GTWR11,FII GREEN TOWERS-UNICA,23740527000158
GURB11,GENIAL RENDA URBANA FII-UNICA,36501210000100
HAAA11,HEDGE AAA FII-UNICA,27445482000140
HABT11,HABITAT II - FII,30578417000105
HBCR11,FII HBC RENDA URBANA-CLASSE UN,36501159000137
HBRH11,FII MULT RENDA URBANA-UNICA,30871698000181
HCHG11,HECTARE RECEBIVEIS HIGH GRADE -UNICA,34508959000154
HCRI11,HOSPITAL DA CRIANCA FII,04066582000160
HCST11,HECTARE DESENVOLVIME STUDENT HOUSING FII,31152015000107
HCTR11,HECTARE CE FII-UNICA,30248180000196
HDEL11,HEDGE DESENVOLVIMENTO LOGISTIC-CLASSE UN,44514162000113
HDOF11,HEDGE PALADIN DESIGN OFFICES F-UNICA,35688460000139
HFOF11,HEDGE TOP FOFII 3 FII-UNICA,18307582000119
HFOF12,HEDGE TOP FOFII 3 FII-UNICA,18307582000119
HGBS11,HEDGE BRASIL SHOPPING FII-UNICA1,08431747000106
HGCR11,CSHG RECEBIVEIS IMOBILIARIOS -UNICA,11160521000122
HGFF11,CSHG IMOBILIARIO FOF - FII-UNICA,32784898000122
HGIC11,HGI CREDITOS IMOBILIARIOS FII-UNICA,38456508000171
HGLG11,CSHG LOGISTICA FII - FII-UNICA,11728688000147
HGPO11,CSHG PRIME OFFICES FII-UNICA,11260134000168
HGRE11,CSHG REAL ESTATE FII-UNICA,09072017000129
HGRU11,CSHG RENDA URBANA - FII-UNICA,29641226000153
HLOG11,HEDGE LOGISTICA FII-UNICA,27486542000172
HOFC11,HEDGE OFFICE INCOME FUNDO DE I-UNICA,31894369000119
HOSI11,FII HOUSI,34081631000102
HPDP11,HEDGE SHOPPING PARQUE DOM PEDR-UNICA,35586415000173
HRDF11,HEDGE REALTY DEVELOPMENT FII-UNICA,16929519000199
HREC11,HEDGE RECEBIVEIS IMOBILIARIOS -UNICA,35507262000121
HSAF11,HSI ATIVOS FINANCEIROS - FII-UNICA,35360687000150
HSLG11,HSI LOGÍSTICA FI IMOBILIÁRIO,32903621000171
HSML11,HSI MALLS FUNDO DE INVESTIMENT-UNICA,32892018000131
HSRE11,HSI RENDA IMOBILIARIA FII-UNICA,08098114000128
HTMX11,HOTEL MAXINVEST FII-UNICA,08706065000169
HUSC11,FII HOSPITAL UNIMED SUL CAPIXABA,28851767000143
HUSI11,HUSI FI IMO-UNICA,30017492000199
IBCR11,FII DE CRI INTEGRAL BREI-UNICA,40011251000196
IDFI11,FII DE UNIDADES AUTONOMAS-UNICA,32774914000104
IDGR11,FII DE UNIDADES AUTONOMAS II-UNICA,44177538000141
IRDM11,IRIDIUM RECEBIVEIS IMOBILIARIO-UNICA,28830325000110
IRIM11,IRIDIUM FI -UNICA,41076564000195
ITIP11,ITIP FII-UNICA,36312772000106
ITIT11,ITIT FII-UNICA,36293425000183
JASC11,JASC RENDA VAREJO ESSENCIAL FU-UNICA,40886241000102
JASC12,JASC RENDA VAREJO ESSENCIAL FU-UNICA,40886241000102
JBFO11,JBFO FOF FI-COTACAO U,36615915000159
JFLL11,JFL LIVING FII-CLASSE UN,36501181000187
JPPA11,JPP CAPITAL RECEB. IMOB. FII-UNICA,30982880000100
JPPC11,JPP CAPITAL FI. IMO-UNICA,17216625000198
JRDM11,SHOPPING JD SUL FII-UNICA,14879856000193
JSAF11,JS ATIVOS FINANCEIROS FUNDO DE-UNICA,42085661000107
JSRE11,JS REAL ESTATE MULTIGESTAO FII,13371132000171
JTPR11,JT PREV FII DESENVOLVIMENTO HA-UNICA,23876086000116
KCRE11,KINEA CREDITAS FII-UNICA,42502802000140
KEVE11,EVEN II KINEA FUNDO DE INVESTI-UNICA,32317313000164
KFOF11,KINEA FUNDO DE FUNDOS DE INVES-UNICA,30091444000140
KINP11,EVEN PERMUTA KINEA FII - FUNDO DE INVEST,24070076000151
KISU11,KILIMA FC DE FII SUNO 30-UNICA,36669660000107
KIVO11,KILIMA VOLKANO RECEBIVEIS IMOB-UNICA,42273325000198
KNCR11,KINEA RENDIMENTOS IMOBILIARIOS-U,16706958000132
KNHY11,KINEA HIGH YIELD CRI FUNDO DE -UNICA,30130708000128
KNIP11,KINEA INDICES DE PRECOS FUNDO -UNICA,24960430000113
KNRE11,KINEA II REAL ESTATE EQUITY,14423780000197
KNRI11,KINEA RENDA IMOBILIARIA FUNDO -UNICA,12005956000165
KNSC11,KINEA SECURITIES FUNDO DE INVE-1,35864448000138
LASC11,LEGATUS SHOPPINGS FII-UNICA,30248158000146
LATR11B,LATERES FII,17209378000100
LFTT11,LOFT II MAISON SAO PAULO FUNDO-COTA A,24796967000190
LGCP11,LOGCP INTER FUNDOS DE INVESTIM-UNICA,34598181000111
LIFE11,LIFE CAPITAL PARTNERS FII-UNICA,39753295000102
LIFE12,LIFE CAPITAL PARTNERS FII-UNICA,39753295000102
LKDV11,FII DEVELOPMENT V1-UNICA,40102445000105
LLAO11,BS2 ALLINVESTMENTS FII-SUBORDINA,41218404000133
LPLP11,LAGO DA PEDRA FII-UNICA,37262752000130
LUGG11,LUGGO FI IM-UNICA,34835191000123
LUGG12,LUGGO FI IM-UNICA,34835191000123
LVBI11,VBI LOGISTICO FI IMOBILIARIO-UNICA,30629603000118
MALL11,MALLS BRASIL PLURAL FII,26499833000132
MANA11,MANATI CAPITAL HEDGE FUND FII-CLASSE UN,42888583000189
MANA12,MANATI CAPITAL HEDGE FUND FII-CLASSE UN,42888583000189
MATV11,MORE GESTAO ATIVA DE RECEBIVEI-UNICA,41076678000135
MAXR11,MAX RETAIL FII,11274415000170
MCCI11,MAUA CAPITAL RECEBIVEIS IMOBIL-UNICA,23648935000184
MCCI12,MAUA CAPITAL RECEBIVEIS IMOBIL-UNICA,23648935000184
MCHF11,MAUA CAPITAL HEDGE FUND FII-UNICA,36642139000186
MCHF12,MAUA CAPITAL HEDGE FUND FII-UNICA,36642139000186
MCHY11,FII MAUA HIGH YIELD-UNICA,36655973000106
MFAI11,MERITO FUNDOS E ACOES IMO FII-UNICA,32397369000176
MFCR11,MERITO RECEBIVEIS IMOBILIARIOS-UNICA,45403337000188
MFCR12,MERITO RECEBIVEIS IMOBILIARIOS-UNICA,45403337000188
MFII11,MERITO DESENVOLVIMENTO IMOBILIARIO FII,16915968000188
MGCR11,FII MOGNO CERTIFICADOS DE RECE-UNICA,35652204000191
MGFF11,FI IMOBILIA-UNICA,29216463000177
MGHT11,FII MOGNO HOTEIS-UNICA,34197776000165
